id,make,model,model_year,vin
968,Isuzu,VehiCROSS,1999,WBAPH57519N117167
969,Chevrolet,Caprice Classic,1996,1G6DZ67A980788817
970,Chrysler,Town & Country,1995,1VWAS7A31FC107465
971,Lamborghini,Gallardo,2009,WAUMGAFL1AA264843
972,Kia,Sorento,2003,WA1DGAFE6DD446023
973,Suzuki,Daewoo Magnus,2005,WAUEFAFL2EA543523
974,Buick,Century,1991,4T1BF1FK8EU003505
975,Scion,xB,2006,JH4CU2E82CC468325
976,Chrysler,Pacifica,2006,1GYFK53289R630379
977,BMW,3 Series,2012,WVWAB7AJ5CW598361
978,Chevrolet,Tracker,2004,JN1CV6EK9DM354872
979,Volvo,V70,2007,5N1CR2MN8EC266744
980,Pontiac,Fiero,1986,WA1DKAFP7CA660406
981,Lexus,ES,2011,WBAXH5C50DD259899
982,Land Rover,Discovery,2001,1G6DH5EG0A0412890
983,Saturn,VUE,2004,JN8AS5MT9FW120700
984,Ford,Thunderbird,1990,1N6AA0ED4FN080974
985,Mazda,MX-3,1994,KL4CJDSB0FB875487
986,Lexus,LS,2009,3D7JB1EK8AG000877
987,GMC,Savana,2009,2FMGK5C86FB283740
988,Chevrolet,Express 3500,2002,WBAVT13536K626498
989,Pontiac,Sunfire,2000,1N4AL3AP8EC812828
990,Dodge,Ram Van B150,1992,1G6AF5S38E0461349
991,Chevrolet,G-Series 3500,1997,WAURFAFR7AA467801
992,Saab,900,1991,WAUKH78E67A177289
993,Isuzu,Hombre,1998,2HNYD18963H330557
994,Jaguar,XK Series,2004,3VW4A7AT0DM086362
995,Ford,F-Series,2004,JH4CL96896C459524
996,Dodge,Neon,2002,SALGR2VF4FA649857
997,Kia,Carens,2009,1FTEX1CM7DF883195
998,Chevrolet,Prizm,1999,3D7TP2CT9AG067547
999,Cadillac,Seville,1999,WBAVD33506K662576
1000,Bentley,Continental Super,2012,WBA3N9C58EK669605
